"","year","value","hex_code"
"1",1880,-0.17,"#08306B"
"2",1881,-0.09,"#083370"
"3",1882,-0.11,"#083675"
"4",1883,-0.18,"#083A7A"
"5",1884,-0.29,"#083D7F"
"6",1885,-0.34,"#084184"
"7",1886,-0.32,"#08448A"
"8",1887,-0.37,"#08488F"
"9",1888,-0.17,"#084B94"
"10",1889,-0.11,"#084F99"
"11",1890,-0.35,"#09529D"
"12",1891,-0.23,"#0C56A0"
"13",1892,-0.27,"#0E59A2"
"14",1893,-0.32,"#115CA5"
"15",1894,-0.31,"#1360A7"
"16",1895,-0.23,"#1663AA"
"17",1896,-0.11,"#1967AD"
"18",1897,-0.11,"#1B6AAF"
"19",1898,-0.27,"#1E6DB2"
"20",1899,-0.18,"#2171B5"
"21",1900,-0.08,"#2474B6"
"22",1901,-0.15,"#2878B8"
"23",1902,-0.27,"#2B7BBA"
"24",1903,-0.36,"#2F7FBC"
"25",1904,-0.47,"#3282BE"
"26",1905,-0.26,"#3686BF"
"27",1906,-0.22,"#3989C1"
"28",1907,-0.39,"#3D8DC3"
"29",1908,-0.43,"#4090C5"
"30",1909,-0.48,"#4493C7"
"31",1910,-0.43,"#4896C8"
"32",1911,-0.44,"#4D99CA"
"33",1912,-0.36,"#519CCC"
"34",1913,-0.34,"#559FCD"
"35",1914,-0.15,"#5AA2CF"
"36",1915,-0.14,"#5EA5D1"
"37",1916,-0.36,"#62A8D2"
"38",1917,-0.46,"#67ABD4"
"39",1918,-0.29,"#6BAED6"
"40",1919,-0.28,"#71B1D7"
"41",1920,-0.27,"#76B4D8"
"42",1921,-0.19,"#7BB7D9"
"43",1922,-0.28,"#81BADA"
"44",1923,-0.26,"#86BDDB"
"45",1924,-0.27,"#8CC0DD"
"46",1925,-0.22,"#91C3DE"
"47",1926,-0.11,"#96C6DF"
"48",1927,-0.22,"#9CC9E0"
"49",1928,-0.2,"#A0CBE1"
"50",1929,-0.36,"#A5CCE3"
"51",1930,-0.15,"#A9CEE4"
"52",1931,-0.09,"#ADD0E6"
"53",1932,-0.15,"#B1D2E7"
"54",1933,-0.28,"#B5D4E9"
"55",1934,-0.12,"#BAD5EA"
"56",1935,-0.19,"#BED7EC"
"57",1936,-0.14,"#C2D9ED"
"58",1937,-0.03,"#C6DBEF"
"59",1938,0,"#C9DDF0"
"60",1939,-0.02,"#CBDEF0"
"61",1940,0.13,"#CEE0F1"
"62",1941,0.19,"#D0E2F2"
"63",1942,0.06,"#D3E3F3"
"64",1943,0.09,"#D5E5F4"
"65",1944,0.2,"#D8E7F5"
"66",1945,0.09,"#DAE8F5"
"67",1946,-0.07,"#DDEAF6"
"68",1947,-0.02,"#E0EAF4"
"69",1948,-0.11,"#E3E8F0"
"70",1949,-0.11,"#E7E7EC"
"71",1950,-0.17,"#EAE6E8"
"72",1951,-0.07,"#EEE5E4"
"73",1952,0.01,"#F1E4E0"
"74",1953,0.08,"#F4E3DC"
"75",1954,-0.13,"#F8E2D8"
"76",1955,-0.14,"#FBE0D4"
"77",1956,-0.19,"#FDDED0"
"78",1957,0.05,"#FDDBCB"
"79",1958,0.06,"#FDD7C6"
"80",1959,0.03,"#FDD3C1"
"81",1960,-0.03,"#FDCFBB"
"82",1961,0.06,"#FCCBB6"
"83",1962,0.03,"#FCC7B1"
"84",1963,0.06,"#FCC3AC"
"85",1964,-0.2,"#FCBFA7"
"86",1965,-0.11,"#FCBBA2"
"87",1966,-0.06,"#FCB79D"
"88",1967,-0.02,"#FCB398"
"89",1968,-0.08,"#FCAE93"
"90",1969,0.05,"#FCAA8E"
"91",1970,0.03,"#FCA689"
"92",1971,-0.08,"#FCA184"
"93",1972,0.01,"#FC9D7F"
"94",1973,0.16,"#FC997A"
"95",1974,-0.07,"#FC9475"
"96",1975,-0.01,"#FB9070"
"97",1976,-0.1,"#FB8C6C"
"98",1977,0.18,"#FB8868"
"99",1978,0.07,"#FB8363"
"100",1979,0.16,"#FB7F5F"
"101",1980,0.26,"#FB7B5B"
"102",1981,0.32,"#FB7757"
"103",1982,0.14,"#FB7353"
"104",1983,0.31,"#FB6E4E"
"105",1984,0.16,"#FB6A4A"
"106",1985,0.12,"#F96547"
"107",1986,0.18,"#F86044"
"108",1987,0.32,"#F75B40"
"109",1988,0.39,"#F6563D"
"110",1989,0.27,"#F4513A"
"111",1990,0.45,"#F34C37"
"112",1991,0.41,"#F24734"
"113",1992,0.22,"#F14231"
"114",1993,0.23,"#EF3D2D"
"115",1994,0.32,"#ED392B"
"116",1995,0.45,"#E93529"
"117",1996,0.33,"#E53228"
"118",1997,0.46,"#E22E26"
"119",1998,0.61,"#DE2A25"
"120",1999,0.38,"#DA2723"
"121",2000,0.39,"#D62321"
"122",2001,0.54,"#D21F20"
"123",2002,0.63,"#CF1B1E"
"124",2003,0.62,"#CB181D"
"125",2004,0.54,"#C7171C"
"126",2005,0.68,"#C3161B"
"127",2006,0.64,"#BF151A"
"128",2007,0.67,"#BB1419"
"129",2008,0.54,"#B71318"
"130",2009,0.66,"#B31217"
"131",2010,0.72,"#AF1117"
"132",2011,0.61,"#AB1016"
"133",2012,0.65,"#A70F15"
"134",2013,0.68,"#A10E14"
"135",2014,0.75,"#9B0C13"
"136",2015,0.9,"#940B12"
"137",2016,1.02,"#8E0912"
"138",2017,0.92,"#870711"
"139",2018,0.85,"#810610"
"140",2019,0.98,"#7A040F"
"141",2020,1.02,"#74030E"
"142",2021,0.85,"#6D010D"
"143",2022,0.89,"#67000D"
